id,name,neighbourhood_group,price,ai_summary
35122826,Luxury & Cozy Penthouse in Manhattan,Manhattan,390.0,AI Offline
34462649,Private bedroom Cozy and Warm for girls ONLY,Brooklyn,65.0,AI Offline
28950019,Bed room close to NYC⬆︎ with lots of sun light☀️,Queens,40.0,AI Offline
6553257,Royal Oxford,Staten Island,105.0,AI Offline
1616540,Modern Clean 1 Bedroom apt  in Clinton Hill,Brooklyn,130.0,AI Offline
33240958,COZY Room @Williamsburg (10 mins to Manhattan),Brooklyn,65.0,AI Offline
31313806,new;  private entrance; pvt room and pvt bath,Brooklyn,59.0,AI Offline
30071389,Lothlorien,Brooklyn,26.0,AI Offline
15647143,Lovely 2 Bedroom with Balcony on UWS,Manhattan,180.0,AI Offline
846457,Beatiful Studio in williamsburg,Brooklyn,120.0,AI Offline
35060992,Beautiful Apartment in Brooklyn,Brooklyn,88.0,AI Offline
36282009,Private Room in a beautiful 2 BR apartment,Manhattan,40.0,AI Offline
25997752,Loft Suite at Franklin Guesthouse,Brooklyn,379.0,AI Offline
825193,Park Slope Apartment,Brooklyn,155.0,AI Offline
14351733,Private Room beside the 7 Train!,Queens,60.0,AI Offline
6403795,Twin Loft Nook in Brooklyn,Brooklyn,44.0,AI Offline
1 Queen bed room",109507109,Flushing,2.0,AI Offline
34470040,Brand new 2 bedroom; Steps To Manhattan,Brooklyn,130.0,AI Offline
10052289,N/A,Brooklyn,50.0,AI Offline
